, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
,,, $16.00 ,FLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Feb,,, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,cra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,wax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $25.00 ,tahe,,,,,,,,,,,                                                                                                                                                                                                                                                                                              ,,,,,,,,,,,,,,,,,
, $45.00 ,tahe, $45.00 ,tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, , $15.00 ,felix ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $12.00 ,jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,jb smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Feb, $10.00 ,sty pow,,,,,65 salys ,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,tah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,tah 12;56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,tah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Feb, $10.00 ,sty pow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $158.00 ,, $115.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $93.00 ,TAHE, $70.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $65.00 ,FELIX, $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb,,, $40.00 ,phelps kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $73.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $18.00 ,mouse,12.37pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10, $10.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $16.00 ,, 5 30 pm ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,, $3.59 ,gelcolor,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,, $162.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $131.00 , tah  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $31.00 , flix  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, M , A , R , Z , O                    2   0  2  4   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Mar, $10.00 , polvo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 , gel jb ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 , telarana ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $60.00 , tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
