, PRO CASH ,, PRO TJ  ,,,,,,,,,,,,,,Date,Provider,Product,Quantity,Price,Total,Cash/card,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,,, $13.00 ,molde past,,5:18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep, $30.00 ,minoxidil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 septenber,,, $15.00 ,gel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $200.00 ,maquina felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,minoxidil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $50.00 ,minox gel negrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $22.00 ,jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $35.00 ,byby ,bybym ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $8.00 ,jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $270.00 ,, $143.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $55.00 ,TAHE , $85.00 ,TAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $215.00 ,FELIX , $58.00 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Sep,,, $18.00 ,Tahe,12;27 l/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,byb,3;34,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Sep, $25.00 ,minoxi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel verde, $25.00 ,aminox ,6;6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,polvi, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Sep,,, $15.00 ,,2.06pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,polv, $15.00 ,,2.47pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,MOOSE, $15.00 ,,2:50,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,polv, $15.00 ,,3.54pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Sep,,polvo, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Sep, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $65.00 ,tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $12.00 ,g brillo,2:38,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $8.00 ,grel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep, $15.00 ,polvo textura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,spray fijador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $129.00 ,, $225.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $61.00 ,tahe , $123.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $68.00 ,FELIX , $102.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $40.00 ,aceite tohe 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $16.00 ,jb  2;30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/27/2024, $15.00 ,gb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
viernes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,cera spider,7:54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,GL BLANCO ,8;7,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $5.00 ,PEINETA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $13.00 ,cera,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,lapiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $20.00 ,anticaspa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $146.00 ,, $74.00 ,flix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $101.00 ,tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $(45.00),flix ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecha, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/3/2024, $15.00 ,jonyby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $12.00 ,cera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cera, $13.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecha, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2024, $15.00 ,jby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jby, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/2024,,, $15.00 ,JB GEL,7:21,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $72.00 ,, $43.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $72.00 ,felix, $43.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $30.00 ,tah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,,, $52.00 ,tahe 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo lv3,,,3.19pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,polvo,5:39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Oct, $16.00 ,jb gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,shammpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,tah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel azul,,,9.37am,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Oct, $16.00 ,gel azul,,,10:58,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2024, $15.00 ,,,11.09 am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,11:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel verde, $15.00 ,5:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spider wax, $15.00 ,6:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo,,7.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $212.00 ,, $127.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $82.00 ,TAH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $90.00 ,TAH , $45.00 ,FLIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $122.00 ,FELIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecha, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GEL MOR0, $15.00 ,3:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, GEL , $15.00 ,5 51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,black spray, $15.00 ,,,1 00 pm,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Oct,,polvo , $15.00 ,6;32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,blumin, $45.00 ,3:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,p tex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gotas flix , $15.00 ,6;48.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $6.00 ,tahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo,,1.28pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel, $15.00 ,6.04pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Oct, $15.00 ,gel,,9;42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $51.00 ,, $135.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $6.00 ,TAHE, $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,FELIX , $90.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,cera azul l3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25/2024,,frizene, $20.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,telarana, $15.00 ,3.30pm mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,telarana, $15.00 ,6.06pm,mon,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Oct,,jb, $15.00 ,10;33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tahe , $35.00 ,10;51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,POLVO,,3.50PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $13.00 ,cera azul l3,,3:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.26.24, $15.00 ,GEL PURPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,cera azul, $15.00 ,2:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $58.00 ,, $115.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $35.00 ,TAHE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $80.00 ,FLIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Oct, CASH ,, TARJETA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo textura,,3:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,6.00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,6:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,6:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $45.00 ,, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FECHA, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct, $15.00 ,fixme gel,,11.47am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct, $18.00 ,spray fijador,,12 55 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jb, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $45.00 ,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Nov,,shampo, $20.00 ,11;20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $24.00 ,cremanaranj,,1.15pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,jb',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $8.00 ,spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $75.00 ,, $80.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $24.00 ,tahe , $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $51.00 ,FELIX , $35.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Nov, $8.00 ,gell,,12:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $7.00 ,powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $9.00 ,moosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $9.00 ,spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $55.00 ,Keratin , $15.00 ,1;55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $12.00 ,cera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $25.00 ,flix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $10.00 ,8-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,9-Nov, $70.00 ,color jak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $33.00 ,mss sprai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $19.57 ,Keratin , $16.00 ,1;56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.49 ,cera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $224.06 ,, $101.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Nov, $45.00 ,tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JB, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Nov,,lovel3 azul, $15.00 ,2:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,aciete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Nov, $15.00 ,polvo ,,4:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, $15.00 ,minoxidil,,11.14am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,jb ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,moose, $18.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Nov, $8.00 ,spray,,11:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAHE, $70.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,champomorado,,1.53pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,GEL,,2.49PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $222.00 ,, $118.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $108.00 ,TAHER, $88.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $114.00 ,FELIX, $30.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FECHA, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/2024, $18.00 ,cremaverde,,12.18pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gelgb,,1.37pm,mons,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $16.00 ,jb,,4;47 le ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,jb ,,4;37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $33.00 ,spray gel,,11:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $45.00 ,tah 11;55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $35.00 ,keratin ,,5;40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $132.00 ,, $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,TAH , $45.00 ,TAH    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $114.00 ,FLIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Nov, $15.00 ,GEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,LEEVEL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov, $20.00 ,g thae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $45.00 ,tah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,flix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $7.00 ,feliz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov, $16.00 ,,,6 50 pm,minoxidil,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $60.00 ,tahe ,,3;40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Nov, $18.00 ,,,2.01pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,4:28,jb gel,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Nov,,, $18.00 ,12.33pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $35.00 ,tahe, $12.00 ,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,polvo, $15.00 ,cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $18.00 ,pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $309.00 ,, $60.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $160.00 ,tahe, $18.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $149.00 ,felix, $42.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Dec,,, $18.00 ,5:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,7:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Dec,,polvo, $15.00 ,5:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Dec,,polvo, $15.00 ,2 29 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Dec,,lv3 azul, $15.00 ,1:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,minoxidil, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Dec,,polvo y gel verde, $30.00 ,9:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b styling , $15.00 ,11;22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,sty pow, $15.00 ,12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel, $15.00 ,2;13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spray, $18.00 ,2;13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Dec,, wax spider, $12.00 ,1:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $165.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $87.00 ,FLIX ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $78.00 ,TAH ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FECHA, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 dic, $15.00 ,,,4.05pm mon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec, $15.00 ,polvo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel verde, $15.00 ,4:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Dec, $15.00 ,,,7 31 pm,lesther,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 dic,,, $18.00 ,6.14pm,monse,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Dec, $7.00 ,SPRAY WIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,muss negro, $15.00 ,3:29,wil,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Dec, $16.00 ,spray,,10:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15, $15.00 ,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.28pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,broche, $10.00 ,3:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL, $83.00 ,, $58.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $23.00 ,TAHE, $25.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $60.00 ,FELIX, $33.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,4.51pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $16.00 ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Dec, $15.00 ,minoxidil, $15.00 ,5:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Dec, $30.00 ,polvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,frienze, $45.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,gel jb, $15.00 ,7:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Dec, $15.00 ,jb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Dec, $15.00 ,gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gl, $25.00 ,2;24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 power style, $15.00 ,,,,21-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Dec, $15.00 ,gel jb,,10:36,g,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,11:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,gel,,10:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $55.00 ,kit keratin  1;18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $25.00 ,tah  gold ,2;40,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $165.00 ,, $226.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $15.00 ,tah , $150.00 ,tahe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, $150.00 ,felix , $76.00 ,flx ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FECHA, CASH ,PRODCUTO,TARJETA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Dec, polvo ,, $15.00 ,,11 42 am,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $15.00 ,,6.36pm,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Dec,,, $15.00 ,,10.02am,mon,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, $22.00 ,red byby  1;16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
